Year,State,minimumWage
2001,Alabama,0
2001,Alaska,7.99
2001,Arizona,0
2001,Arkansas,7.28
2001,California,8.84
2001,Colorado,7.28
2001,Connecticut,9.05
2001,Delaware,8.7
2001,District of Columbia,8.7
2001,Federal (FLSA),7.28
2001,Florida,0
2001,Georgia,4.6
2001,Guam,7.28
2001,Hawaii,7.42
2001,Idaho,7.28
2001,Illinois,7.28
2001,Indiana,7.28
2001,Iowa,7.28
2001,Kansas,3.75
2001,Kentucky,7.28
2001,Louisiana,0
2001,Maine,7.28
2001,Maryland,7.28
2001,Massachusetts,9.55
2001,Michigan,7.28
2001,Minnesota,6.93
2001,Mississippi,0
2001,Missouri,7.28
2001,Montana,5.66
2001,Nebraska,7.28
2001,Nevada,7.28
2001,New Hampshire,7.28
2001,New Jersey,7.28
2001,New Mexico,6.01
2001,New York,7.28
2001,North Carolina,7.28
2001,North Dakota,7.28
2001,Ohio,3.96
2001,Oklahoma,2.83
2001,Oregon,9.19
2001,Pennsylvania,7.28
2001,Puerto Rico,5.11
2001,Rhode Island,8.7
2001,South Carolina,0
2001,South Dakota,7.28
2001,Tennessee,0
2001,Texas,4.74
2001,U.S. Virgin Islands,6.08
2001,Utah,7.28
2001,Vermont,8.84
2001,Virginia,7.28
2001,Washington,9.5
2001,West Virginia,7.28
2001,Wisconsin,7.28
2001,Wyoming,2.26
2002,Alabama,0
2002,Alaska,7.87
2002,Arizona,0
2002,Arkansas,7.17
2002,California,9.4
2002,Colorado,7.17
2002,Connecticut,9.33
2002,Delaware,8.56
2002,District of Columbia,8.56
2002,Federal (FLSA),7.17
2002,Florida,0
2002,Georgia,7.17
2002,Guam,7.17
2002,Hawaii,8
2002,Idaho,7.17
2002,Illinois,7.17
2002,Indiana,7.17
2002,Iowa,7.17
2002,Kansas,3.69
2002,Kentucky,7.17
2002,Louisiana,0
2002,Maine,8
2002,Maryland,7.17
2002,Massachusetts,9.4
2002,Michigan,7.17
2002,Minnesota,6.82
2002,Mississippi,0
2002,Missouri,7.17
2002,Montana,5.57
2002,Nebraska,7.17
2002,Nevada,7.17
2002,New Hampshire,7.17
2002,New Jersey,7.17
2002,New Mexico,5.92
2002,New York,7.17
2002,North Carolina,7.17
2002,North Dakota,7.17
2002,Ohio,3.9
2002,Oklahoma,2.78
2002,Oregon,9.05
2002,Pennsylvania,7.17
2002,Puerto Rico,5.03
2002,Rhode Island,8.56
2002,South Carolina,0
2002,South Dakota,7.17
2002,Tennessee,0
2002,Texas,7.17
2002,U.S. Virgin Islands,5.99
2002,Utah,7.17
2002,Vermont,8.7
2002,Virginia,7.17
2002,Washington,9.61
2002,West Virginia,7.17
2002,Wisconsin,7.17
2002,Wyoming,7.17
2003,Alabama,0
2003,Alaska,9.73
2003,Arizona,0
2003,Arkansas,7.01
2003,California,9.19
2003,Colorado,7.01
2003,Connecticut,9.39
2003,Delaware,8.37
2003,District of Columbia,8.37
2003,Federal (FLSA),7.01
2003,Florida,0
2003,Georgia,7.01
2003,Guam,7.01
2003,Hawaii,8.51
2003,Idaho,7.01
2003,Illinois,7.01
2003,Indiana,7.01
2003,Iowa,7.01
2003,Kansas,3.61
2003,Kentucky,7.01
2003,Louisiana,0
2003,Maine,8.51
2003,Maryland,7.01
2003,Massachusetts,9.19
2003,Michigan,7.01
2003,Minnesota,6.67
2003,Mississippi,0
2003,Missouri,7.01
2003,Montana,5.44
2003,Nebraska,7.01
2003,Nevada,7.01
2003,New Hampshire,7.01
2003,New Jersey,7.01
2003,New Mexico,5.79
2003,New York,7.01
2003,North Carolina,7.01
2003,North Dakota,7.01
2003,Ohio,3.81
2003,Oklahoma,2.72
2003,Oregon,9.39
2003,Pennsylvania,7.01
2003,Puerto Rico,4.91
2003,Rhode Island,8.37
2003,South Carolina,0
2003,South Dakota,7.01
2003,Tennessee,0
2003,Texas,7.01
2003,U.S. Virgin Islands,5.85
2003,Utah,7.01
2003,Vermont,8.51
2003,Virginia,7.01
2003,Washington,9.54
2003,West Virginia,7.01
2003,Wisconsin,7.01
2003,Wyoming,7.01
2004,Alabama,0
2004,Alaska,9.48
2004,Arizona,0
2004,Arkansas,6.83
2004,California,8.95
2004,Colorado,6.83
2004,Connecticut,9.41
2004,Delaware,8.15
2004,District of Columbia,8.15
2004,Federal (FLSA),6.83
2004,Florida,0
2004,Georgia,6.83
2004,Guam,6.83
2004,Hawaii,8.29
2004,Idaho,6.83
2004,Illinois,7.29
2004,Indiana,6.83
2004,Iowa,6.83
2004,Kansas,3.51
2004,Kentucky,6.83
2004,Louisiana,0
2004,Maine,8.29
2004,Maryland,6.83
2004,Massachusetts,8.95
2004,Michigan,6.83
2004,Minnesota,6.5
2004,Mississippi,0
2004,Missouri,6.83
2004,Montana,5.3
2004,Nebraska,6.83
2004,Nevada,6.83
2004,New Hampshire,6.83
2004,New Jersey,6.83
2004,New Mexico,6.83
2004,New York,6.83
2004,North Carolina,6.83
2004,North Dakota,6.83
2004,Ohio,3.71
2004,Oklahoma,2.65
2004,Oregon,9.35
2004,Pennsylvania,6.83
2004,Puerto Rico,4.79
2004,Rhode Island,8.95
2004,South Carolina,0
2004,South Dakota,6.83
2004,Tennessee,0
2004,Texas,6.83
2004,U.S. Virgin Islands,5.7
2004,Utah,6.83
2004,Vermont,8.95
2004,Virginia,6.83
2004,Washington,9.49
2004,West Virginia,6.83
2004,Wisconsin,6.83
2004,Wyoming,6.83
2005,Alabama,0
2005,Alaska,9.17
2005,Arizona,0
2005,Arkansas,6.6
2005,California,8.65
2005,Colorado,6.6
2005,Connecticut,9.1
2005,Delaware,7.89
2005,District of Columbia,8.46
2005,Federal (FLSA),6.6
2005,Florida,0
2005,Georgia,6.6
2005,Guam,6.6
2005,Hawaii,8.01
2005,Idaho,6.6
2005,Illinois,8.33
2005,Indiana,6.6
2005,Iowa,6.6
2005,Kansas,3.4
2005,Kentucky,6.6
2005,Louisiana,0
2005,Maine,8.14
2005,Maryland,6.6
2005,Massachusetts,8.65
2005,Michigan,6.6
2005,Minnesota,6.28
2005,Mississippi,0
2005,Missouri,6.6
2005,Montana,5.13
2005,Nebraska,6.6
2005,Nevada,6.6
2005,New Hampshire,6.6
2005,New Jersey,6.6
2005,New Mexico,6.6
2005,New York,7.69
2005,North Carolina,6.6
2005,North Dakota,6.6
2005,Ohio,3.59
2005,Oklahoma,2.56
2005,Oregon,9.3
2005,Pennsylvania,6.6
2005,Puerto Rico,4.63
2005,Rhode Island,8.65
2005,South Carolina,0
2005,South Dakota,6.6
2005,Tennessee,0
2005,Texas,6.6
2005,U.S. Virgin Islands,5.51
2005,Utah,6.6
2005,Vermont,8.98
2005,Virginia,6.6
2005,Washington,9.42
2005,West Virginia,6.6
2005,Wisconsin,6.6
2005,Wyoming,6.6
2006,Alabama,0
2006,Alaska,8.88
2006,Arizona,0
2006,Arkansas,6.4
2006,California,8.38
2006,Colorado,6.4
2006,Connecticut,9.19
2006,Delaware,7.64
2006,District of Columbia,8.69
2006,Federal (FLSA),6.4
2006,Florida,7.95
2006,Georgia,6.4
2006,Guam,6.4
2006,Hawaii,8.38
2006,Idaho,6.4
2006,Illinois,8.07
2006,Indiana,6.4
2006,Iowa,6.4
2006,Kansas,3.29
2006,Kentucky,6.4
2006,Louisiana,0
2006,Maine,8.07
2006,Maryland,6.4
2006,Massachusetts,8.38
2006,Michigan,6.4
2006,Minnesota,6.52
2006,Mississippi,0
