state,minimumWage
Alabama,0
Alaska,7.87
Arizona,0
Arkansas,7.17
California,9.4
Colorado,7.17
Connecticut,9.33
Delaware,8.56
District of Columbia,8.56
Federal (FLSA),7.17
Florida,0
Georgia,7.17
Guam,7.17
Hawaii,8
Idaho,7.17
Illinois,7.17
Indiana,7.17
Iowa,7.17
Kansas,3.69
Kentucky,7.17
Louisiana,0
Maine,8
Maryland,7.17
Massachusetts,9.4
Michigan,7.17
Minnesota,6.82
Mississippi,0
Missouri,7.17
Montana,5.57
Nebraska,7.17
Nevada,7.17
New Hampshire,7.17
New Jersey,7.17
New Mexico,5.92
New York,7.17
North Carolina,7.17
North Dakota,7.17
Ohio,3.9
Oklahoma,2.78
Oregon,9.05
Pennsylvania,7.17
Puerto Rico,5.03
Rhode Island,8.56
South Carolina,0
South Dakota,7.17
Tennessee,0
Texas,7.17
U.S. Virgin Islands,5.99
Utah,7.17
Vermont,8.7
Virginia,7.17
Washington,9.61
West Virginia,7.17
Wisconsin,7.17
Wyoming,7.17
