Year,state,minimumWage
2012,Alabama,0
2012,Alaska,8.45
2012,Arizona,8.34
2012,Arkansas,6.82
2012,California,8.72
2012,Colorado,8.33
2012,Connecticut,9
2012,Delaware,7.91
2012,District of Columbia,9
2012,Federal (FLSA),7.91
2012,Florida,8.37
2012,Georgia,5.62
2012,Guam,7.91
2012,Hawaii,7.91
2012,Idaho,7.91
2012,Illinois,9
2012,Indiana,7.91
2012,Iowa,7.91
2012,Kansas,7.91
2012,Kentucky,7.91
2012,Louisiana,0
2012,Maine,8.18
2012,Maryland,7.91
2012,Massachusetts,8.72
2012,Michigan,8.07
2012,Minnesota,5.73
2012,Mississippi,0
2012,Missouri,7.91
2012,Montana,4.36
2012,Nebraska,7.91
2012,Nevada,7.91
2012,New Hampshire,7.91
2012,New Jersey,7.91
2012,New Mexico,8.18
2012,New York,7.91
2012,North Carolina,7.91
2012,North Dakota,7.91
2012,Ohio,8.4
2012,Oklahoma,2.18
2012,Oregon,9.6
2012,Pennsylvania,7.91
2012,Puerto Rico,5.54
2012,Rhode Island,8.07
2012,South Carolina,0
2012,South Dakota,7.91
2012,Tennessee,0
2012,Texas,7.91
2012,U.S. Virgin Islands,4.69
2012,Utah,7.91
2012,Vermont,9.23
2012,Virginia,7.91
2012,Washington,9.86
2012,West Virginia,7.91
2012,Wisconsin,7.91
2012,Wyoming,5.62
